     q_A^-1             I 
  3.648004e+00    2.019627e+00
  3.660765e+00    2.066763e+00
  3.673527e+00    2.042499e+00
  3.686289e+00    2.067566e+00
  3.699050e+00    1.942339e+00
  3.711812e+00    2.035465e+00
  3.724574e+00    2.051740e+00
  3.737335e+00    1.969817e+00
  3.750097e+00    1.983287e+00
  3.762859e+00    2.012216e+00
  3.775620e+00    1.915554e+00
  3.788382e+00    1.900552e+00
  3.801143e+00    1.974968e+00
  3.813905e+00    1.892135e+00
  3.826667e+00    1.896172e+00
  3.839428e+00    1.979879e+00
  3.852190e+00    1.973207e+00
  3.864952e+00    1.981471e+00
  3.877713e+00    1.878168e+00
  3.890475e+00    1.931860e+00
  3.903237e+00    1.987187e+00
  3.915998e+00    1.913833e+00
  3.928760e+00    1.876020e+00
  3.941522e+00    1.869810e+00
  3.954283e+00    1.919881e+00
  3.967045e+00    1.923089e+00
  3.979807e+00    1.885310e+00
  3.992568e+00    1.968853e+00
  4.005330e+00    1.919295e+00
  4.018092e+00    2.042698e+00
  4.030853e+00    1.953852e+00
  4.043615e+00    1.908860e+00
  4.056377e+00    1.886401e+00
  4.069138e+00    1.946810e+00
  4.081900e+00    1.942783e+00
  4.094662e+00    1.964354e+00
  4.107423e+00    1.929384e+00
  4.120185e+00    1.972833e+00
  4.132946e+00    1.943060e+00
  4.145708e+00    1.929764e+00
  4.158470e+00    1.934397e+00
  4.171231e+00    1.891629e+00
  4.183993e+00    2.026294e+00
  4.196755e+00    2.010098e+00
  4.209516e+00    2.113257e+00
  4.222278e+00    2.086007e+00
  4.235040e+00    2.181738e+00
  4.247801e+00    2.481096e+00
  4.260563e+00    2.919555e+00
  4.273325e+00    3.755020e+00
  4.286086e+00    4.374923e+00
  4.298848e+00    4.812572e+00
  4.311610e+00    4.905553e+00
  4.324371e+00    4.125501e+00
  4.337133e+00    3.437539e+00
  4.349895e+00    2.614412e+00
  4.362656e+00    2.407352e+00
  4.375418e+00    2.175171e+00
  4.388180e+00    2.075030e+00
  4.400941e+00    1.873307e+00
  4.413703e+00    1.877877e+00
  4.426465e+00    1.827926e+00
  4.439226e+00    1.860783e+00
  4.451988e+00    1.767092e+00
  4.464749e+00    1.757409e+00
  4.477511e+00    1.790483e+00
  4.490273e+00    1.721231e+00
  4.503034e+00    1.697708e+00
  4.515796e+00    1.837468e+00
  4.528558e+00    1.724684e+00
  4.541319e+00    1.765996e+00
  4.554081e+00    1.772668e+00
  4.566843e+00    1.748212e+00
  4.579604e+00    1.681276e+00
  4.592366e+00    1.698095e+00
  4.605128e+00    1.771072e+00
  4.617889e+00    1.674432e+00
  4.630651e+00    1.713817e+00
