       q_A^-1             I 
  3.494864e+00    4.235134e+00
  3.507625e+00    4.186874e+00
  3.520387e+00    4.036370e+00
  3.533149e+00    4.141647e+00
  3.545910e+00    4.167700e+00
  3.558672e+00    4.190501e+00
  3.571434e+00    4.098564e+00
  3.584195e+00    3.993151e+00
  3.596957e+00    4.089840e+00
  3.609719e+00    4.098041e+00
  3.622480e+00    4.099118e+00
  3.635242e+00    4.135969e+00
  3.648004e+00    4.193249e+00
  3.660765e+00    4.124567e+00
  3.673527e+00    4.031401e+00
  3.686289e+00    3.946419e+00
  3.699050e+00    3.944216e+00
  3.711812e+00    4.025722e+00
  3.724574e+00    4.053485e+00
  3.737335e+00    3.949813e+00
  3.750097e+00    4.020301e+00
  3.762859e+00    3.879861e+00
  3.775620e+00    4.012926e+00
  3.788382e+00    3.869087e+00
  3.801143e+00    3.814765e+00
  3.813905e+00    3.865917e+00
  3.826667e+00    3.989511e+00
  3.839428e+00    3.990898e+00
  3.852190e+00    3.865187e+00
  3.864952e+00    3.729491e+00
  3.877713e+00    3.958196e+00
  3.890475e+00    3.796587e+00
  3.903237e+00    3.900414e+00
  3.915998e+00    3.632107e+00
  3.928760e+00    3.675009e+00
  3.941522e+00    3.695890e+00
  3.954283e+00    3.801906e+00
  3.967045e+00    3.689132e+00
  3.979807e+00    3.815895e+00
  3.992568e+00    3.688888e+00
  4.005330e+00    3.540112e+00
  4.018092e+00    3.622636e+00
  4.030853e+00    3.607672e+00
  4.043615e+00    3.542725e+00
  4.056377e+00    3.743518e+00
  4.069138e+00    3.553451e+00
  4.081900e+00    3.576039e+00
  4.094662e+00    3.608676e+00
  4.107423e+00    3.585135e+00
  4.120185e+00    3.700227e+00
  4.132946e+00    3.560730e+00
  4.145708e+00    3.713815e+00
  4.158470e+00    3.627709e+00
  4.171231e+00    3.872161e+00
  4.183993e+00    3.773290e+00
  4.196755e+00    3.582405e+00
  4.209516e+00    3.575243e+00
  4.222278e+00    3.710765e+00
  4.235040e+00    3.741371e+00
  4.247801e+00    3.618484e+00
  4.260563e+00    3.702631e+00
  4.273325e+00    3.615656e+00
  4.286086e+00    3.632406e+00
  4.298848e+00    3.728620e+00
  4.311610e+00    4.048309e+00
  4.324371e+00    4.290457e+00
  4.337133e+00    4.374782e+00
  4.349895e+00    4.314027e+00
  4.362656e+00    4.190975e+00
  4.375418e+00    3.678386e+00
  4.388180e+00    3.530555e+00
  4.400941e+00    3.436323e+00
  4.413703e+00    3.467327e+00
  4.426465e+00    3.236542e+00
  4.439226e+00    3.509200e+00
  4.451988e+00    3.336676e+00
  4.464749e+00    3.318592e+00
  4.477511e+00    3.529698e+00
  4.490273e+00    3.372139e+00
  4.503034e+00    3.375934e+00
  4.515796e+00    3.308866e+00
  4.528558e+00    3.144681e+00
  4.541319e+00    3.387969e+00
  4.554081e+00    3.292476e+00
  4.566843e+00    3.457888e+00
  4.579604e+00    3.285084e+00
  4.592366e+00    3.244385e+00
  4.605128e+00    3.286734e+00
  4.617889e+00    3.107714e+00
  4.630651e+00    3.090194e+00
  4.643413e+00    3.293074e+00
  4.656174e+00    3.203348e+00
  4.668936e+00    3.200877e+00
  4.681698e+00    3.376739e+00
  4.694459e+00    3.321865e+00
  4.707221e+00    3.338282e+00
  4.719983e+00    3.274927e+00
  4.732744e+00    3.199337e+00
  4.745506e+00    3.351405e+00
  4.758267e+00    3.142842e+00
  4.771029e+00    3.295844e+00
  4.783791e+00    3.249079e+00
  4.796552e+00    3.167997e+00
  4.809314e+00    3.146219e+00
  4.822076e+00    3.143625e+00
  4.834837e+00    3.124309e+00
  4.847599e+00    3.058128e+00
  4.860361e+00    3.077971e+00
  4.873122e+00    3.224335e+00
  4.885884e+00    3.066140e+00
  4.898646e+00    3.134267e+00
  4.911407e+00    3.108371e+00
  4.924169e+00    3.089477e+00
  4.936931e+00    3.104412e+00
  4.949692e+00    2.997950e+00
  4.962454e+00    3.010406e+00
  4.975216e+00    3.080409e+00
  4.987977e+00    3.023694e+00
